invests
100
[ 115.25416429]
[ 114.49901621]
[ 113.996787]
[ 113.88454496]
[ 113.98455362]
[ 113.25664465]
[ 113.21382565]
[ 113.27555615]
[ 114.27426728]
[ 113.77929152]
[ 114.01184824]
[ 114.73364757]
[ 115.10293486]
[ 113.93527401]
[ 115.13246248]
[ 116.52797666]
[ 116.85269098]
[ 116.5325396]
[ 117.65849261]
[ 116.48892782]
[ 116.4687872]
[ 116.58353862]
[ 117.34611453]
[ 116.98527518]
[ 116.89625346]
[ 117.50658585]
[ 117.5122097]
[ 117.29927219]
[ 117.51894458]
[ 117.71277477]
[ 118.80947751]
[ 118.20793462]
[ 119.13113227]
[ 120.17383721]
[ 119.46037844]
[ 119.43182646]
[ 119.81097941]
[ 119.72077022]
[ 118.24464617]
[ 119.38615911]
[ 119.36592731]
[ 118.35390849]
[ 119.51338061]
[ 120.64884275]
[ 120.67359733]
[ 120.22629557]
[ 120.94999823]
[ 121.20276159]
[ 122.86098299]
[ 122.00999494]
[ 122.03567658]
[ 121.51476014]
[ 121.63703739]
[ 121.49913073]
[ 121.15690146]
[ 121.51071816]
[ 120.91854605]
[ 120.76282886]
[ 120.36447464]
[ 120.57158754]
[ 119.46532138]
[ 118.49583748]
[ 118.28267703]
[ 118.06495261]
[ 118.43484899]
[ 118.82196682]
[ 119.5121068]
[ 119.18885929]
[ 119.38603291]
[ 120.98151724]
[ 125.48905913]
[ 123.21814611]
[ 125.40775292]
[ 123.30749669]
[ 121.65721123]
[ 121.42061073]
[ 122.25776802]
[ 122.91220932]
[ 123.01943032]
[ 121.17116423]
[ 120.75954137]
[ 119.91899395]
[ 119.90283492]
[ 119.27554053]
[ 119.38644426]
[ 119.67085802]
[ 119.49910952]
[ 120.00940663]
[ 120.44451594]
[ 120.993016]
[ 121.35848406]
[ 121.39765671]
[ 121.25215648]
[ 121.44691282]
[ 121.64503029]
[ 121.79969]
[ 121.0248467]
[ 121.40413172]
[ 121.42993882]
[ 122.47466086]
[ 122.5858665]
[ 122.53810193]
[ 122.18706875]
[ 122.76557419]
[ 122.86337912]
[ 123.20652536]
[ 123.88530247]
[ 124.1167933]
[ 124.38980276]
[ 124.56921627]
[ 124.49904358]
[ 124.74203696]
[ 125.3991633]
[ 125.22796494]
[ 125.03025293]
[ 125.68391701]
[ 125.92994391]
[ 126.22984889]
[ 126.22462491]
[ 125.69656844]
[ 125.32289582]
[ 125.34124391]
[ 125.62049997]
[ 122.54002542]
[ 124.33855181]
[ 126.21033616]
[ 126.1361653]
[ 127.41131026]
[ 127.89376325]
[ 127.89614252]
[ 127.85789531]
[ 126.47712404]
[ 125.66035876]
[ 126.38540336]
[ 125.30003554]
[ 126.10749028]
[ 125.44307429]
[ 126.62338292]
[ 127.63231416]
[ 128.04984576]
[ 127.41528677]
[ 127.96275083]
[ 127.90115872]
[ 128.31864132]
[ 128.90966481]
[ 130.534357]
[ 130.68402631]
[ 130.27900203]
[ 130.30526683]
[ 129.90940023]
[ 130.70969455]
[ 130.42380937]
[ 130.6034837]
[ 130.5924945]
[ 131.21278789]
[ 131.712998]
[ 131.48376319]
[ 131.0910571]
[ 130.68358685]
[ 130.66760731]
[ 129.78078153]
[ 128.93389696]
[ 128.36357067]
[ 128.14970021]
[ 130.99764071]
[ 130.50537776]
[ 129.07560462]
[ 128.82430118]
[ 129.00464324]
[ 129.01954536]
[ 128.06154286]
[ 128.26449113]
[ 128.86430331]
[ 129.1726123]
[ 130.13642096]
[ 129.8552283]
[ 129.75038677]
[ 129.2444739]
[ 129.9271809]
[ 130.10067174]
[ 129.75546212]
[ 129.29930301]
[ 129.35063567]
[ 130.10362522]
[ 129.66136481]
[ 127.97677558]
[ 127.7010253]
[ 126.94708846]
[ 127.09164692]
[ 126.26589639]
[ 127.29920595]
[ 127.79353779]
[ 128.01764838]
[ 128.27049869]
